url,title,author,num_reviews,num_ratings,avg_rating,num_pages,original_publish_year,series,genres,awards,places
https://www.goodreads.com/book/show/13335037-divergent,"Divergent (Divergent, #1)",Veronica Roth,111351,3242581,4.17,487,2011,True,,"['Georgia Peach Book Award (2012)', 'South Carolina Book Award for Young Adult (2014)', 'Rhode Island Teen Book Award (2013)', 'Evergreen Teen Book Award (2014)', 'Soaring Eagle Book Award (2012)']","['Chicago, Illinois']"
https://www.goodreads.com/book/show/4671.The_Great_Gatsby,The Great Gatsby,F. Scott Fitzgerald,76387,4175823,3.93,200,1925,False,,"['Grammy Award Nominee for Best Spoken Word Album (2003)', 'Long Island Reads (2002)']","['New York City, New York', 'New York (State)', 'Long Island, New York']"
https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,125073,7936194,4.47,309,1997,True,,"[""Mythopoeic Fantasy Award for Children's Literature (2008)"", ""British Book Award for Children's Book of the Year (1998)"", 'Prijs van de Nederlandse Kinderjury for 6-9 jaar en 10-12 jaar (2002)', 'American Booksellers Book Of The Year Award for Children (1999)', 'Audie Award (2000)']","['London, England', 'Hogwarts School of Witchcraft and Wizardry', 'Hogwarts School of Witchcraft and Wizardry']"
https://www.goodreads.com/book/show/18144590-the-alchemist,The Alchemist,Paulo Coelho,91040,2374142,3.89,182,1988,False,,"['NBDB National Book Awards Nominee for Translation (2015)', 'Grand Prix des lectrices de Elle for roman (1995)', 'Premio Grinzane Cavour for Narrativa Straniera (1996)', 'Corine Internationaler Buchpreis for Belletristik (2002)']","['Egypt', 'Sahara Desert', 'Tangier']"
https://www.goodreads.com/book/show/7624.Lord_of_the_Flies,Lord of the Flies,William Golding,42134,2464853,3.69,182,1954,False,,,
https://www.goodreads.com/book/show/7144.Crime_and_Punishment,Crime and Punishment,Fyodor Dostoevsky,23566,711916,4.23,671,1866,False,,,"['Russian Empire', 'Saint Petersburg, Russian Empire', 'Siberia']"
https://www.goodreads.com/book/show/18135.Romeo_and_Juliet,Romeo and Juliet,William Shakespeare,21858,2216913,3.75,281,1597,False,,,"['Verona', 'Italy']"
https://www.goodreads.com/book/show/157993.The_Little_Prince,The Little Prince,Antoine de Saint-Exupéry,46790,1591834,4.31,96,1943,False,,['Retro Hugo Award for Best Novella (2019)'],
https://www.goodreads.com/book/show/256683.City_of_Bones,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,66375,1765969,4.09,485,2007,True,,"['Locus Award Nominee for Best First Novel (2008)', 'Georgia Peach Book Award Nominee for Honor book (2009)', 'South Carolina Book Award Nominee for Young Adult Book Award (2010)', ""Pacific Northwest Library Association Young Reader's Choice Award (2010)"", 'Lincoln Award (2010)']","['New York City, New York']"
https://www.goodreads.com/book/show/8127.Anne_of_Green_Gables,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,27174,814762,4.26,320,1908,True,,,"['Avonlea, Prince Edward Island', 'Prince Edward Island']"
https://www.goodreads.com/book/show/4667024-the-help,The Help,Kathryn Stockett,86220,2349174,4.46,464,2009,False,,"['Orange Prize Nominee for Fiction Longlist (2010)', 'Audie Award for Fiction (2010)', 'Exclusive Books Boeke Prize (2009)', 'SIBA Book Award for Fiction (2010)', 'Indies Choice Book Award for Adult Debut (2010)']","['Jackson, Mississippi', 'Mississippi', 'The United States of America']"
